127.0.0.1 - - [12/May/2020:06:08:27 +0900] "GET / HTTP/1.1" 404 750
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/corona.jsp HTTP/1.1" 200 14419
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/img/img01.png HTTP/1.1" 200 18719
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/img/img02.png HTTP/1.1" 200 17245
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/img/img03.png HTTP/1.1" 200 18570
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/img/img04.png HTTP/1.1" 200 21957
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/img/img05.png HTTP/1.1" 200 19557
192.168.43.2 - - [12/May/2020:06:12:37 +0900] "GET /coronaAlert/img/img06.png HTTP/1.1" 200 26715
192.168.43.2 - - [12/May/2020:06:12:41 +0900] "GET /coronaAlert/img/img07.png HTTP/1.1" 200 17879
192.168.43.2 - - [12/May/2020:06:12:41 +0900] "GET /coronaAlert/img/img08.png HTTP/1.1" 200 21301
192.168.43.2 - - [12/May/2020:06:12:41 +0900] "GET /coronaAlert/img/img09.png HTTP/1.1" 200 19253
192.168.43.2 - - [12/May/2020:06:12:41 +0900] "GET /coronaAlert/img/img10.png HTTP/1.1" 200 21562
192.168.43.2 - - [12/May/2020:06:12:42 +0900] "GET /coronaAlert/img/img04.png HTTP/1.1" 200 21957
192.168.43.2 - - [12/May/2020:06:12:42 +0900] "GET /coronaAlert/img/img03.png HTTP/1.1" 200 18570
192.168.43.2 - - [12/May/2020:06:12:42 +0900] "GET /coronaAlert/img/img02.png HTTP/1.1" 200 17245
192.168.43.2 - - [12/May/2020:06:12:42 +0900] "GET /coronaAlert/img/img01.png HTTP/1.1" 200 18719
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/corona.jsp HTTP/1.1" 200 14419
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/img/img01.png HTTP/1.1" 200 18719
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/img/img02.png HTTP/1.1" 200 17245
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/img/img03.png HTTP/1.1" 200 18570
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/img/img04.png HTTP/1.1" 200 21957
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/img/img05.png HTTP/1.1" 200 19557
192.168.43.2 - - [12/May/2020:06:13:31 +0900] "GET /coronaAlert/img/img06.png HTTP/1.1" 200 26715
